CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate
"""ARTHUR BALFOUR"",CONSERVATIVE WORKING MEN'S CLUB LIMITED",IP10067R,,,,,,,,,Registered Society,Active,United Kingdom,,01/01/1981,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/IP10067R,,,,,,,,,,,,,,,,,,,,,15/01/2017,
"""AUTOCONTEX"" AUTOMOBIL CONTAINER EXPRESS GMBH",FC018262,,,BRANCH REGISTRATION,REFER TO PARENT REGISTRY,,,GERMANY,,Other company type,Active,WEST GERMANY,,01/11/1994,30,11,,31/12/2002,FULL,,,2,2,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC018262,,,,,,,,,,,,,,,,,,,,,01/12/2016,
"""B""",CE033707,,,,,,,,,Charitable Incorporated Organisation,Active,United Kingdom,,26/09/2023,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/CE033707,,,,,,,,,,,,,,,,,,,,,,
"""B"" COOL LIMITED",05318740,,,C/O CHARNWOOD ACCOUNTANTS THE POINT GRANITE WAY,MOUNTSORREL,LOUGHBOROUGH,LEICESTERSHIRE,,LE12 7TZ,Private Limited Company,Active,United Kingdom,,21/12/2004,30,6,31/03/2026,31/12/2023,TOTAL EXEMPTION FULL,18/01/2017,21/12/2015,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/05318740,,,,,,,,,,,,,,,,,,,,,04/01/2026,21/12/2024
"""BACHELORS"" LIMITED(THE)",00807672,,,47A HIGH STREET,BANSTEAD,SURREY,,,SM7 2NL,Private Limited Company,Liquidation,United Kingdom,,03/06/1964,30,6,30/04/2003,,NO ACCOUNTS FILED,,,1,1,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/00807672,,,,,,,,,,,,,,,,,,,,,17/06/2017,
"""BAMEX"" ZAKLAD PRODUKCYJNO-HANDLOWY",FC015324,,,MR.E.SZELICZYK,67 OXLEAY ROAD,RAYNERS LANE,HARROW MIDDX.HA2 9UZ,POLAND,,Other company type,Active,POLAND,,11/12/1989,31,3,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC015324,,,,,,,,,,,,,,,,,,,,,25/12/2016,
"""BE"" NEWHALL MANAGEMENT COMPANY LIMITED",07326397,,,VANTAGE POINT,23 MARK ROAD,HEMEL HEMPSTEAD,HERTFORDSHIRE,,HP2 7DN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,27/07/2010,31,7,30/04/2026,31/07/2024,DORMANT,24/08/2016,27/07/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/07326397,,,,,,,,,,,,,,,,,,,,,10/08/2026,27/07/2025
"""BEDE INVESTMENT PROPERTIES LIMITED""",02871100,,,43A UXBRIDGE ROAD,LONDON,,,,W12 8LA,Private Limited Company,Active,United Kingdom,,12/11/1993,31,12,30/09/2026,31/12/2024,MICRO ENTITY,28/11/2016,31/10/2015,5,5,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/02871100,,,,,,,,,,,,,,,,,,,,,14/11/2025,31/10/2024
"""BEECHBANK COURT"" MANAGEMENT COMPANY LIMITED",01382560,,,33 BEECHBANK,NORWICH,NORFOLK,,,NR2 2AL,Private Limited Company,Active,United Kingdom,,07/08/1978,31,5,28/02/2026,31/05/2024,MICRO ENTITY,23/05/2017,25/04/2016,0,0,0,0,68320 - Management of real estate on a fee or contract basis,74990 - Non-trading company,,,0,0,http://business.data.gov.uk/id/company/01382560,,,,,,,,,,,,,,,,,,,,,09/05/2026,25/04/2025
"""BELLE-VUE"" ENTERPRISES LIMITED",04427981,,,2 THE CRESCENT,,WISBECH,CAMBRIDGESHIRE,UNITED KINGDOM,PE13 1EH,Private Limited Company,Active,United Kingdom,,30/04/2002,31,5,28/02/2026,31/05/2024,MICRO ENTITY,25/05/2017,27/04/2016,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id/company/04427981,,,,,,,,,,,,,,,,,,,,,11/05/2026,27/04/2025
